Time_1 [s],f1_1 [Hz],D1_1 [ppm],f3_1 [Hz],D3_1 [ppm],f5_1 [Hz],D5_1 [ppm],f7_1 [Hz],D7_1 [ppm],f9_1 [Hz],D9_1 [ppm],f11_1 [Hz],D11_1 [ppm],f13_1 [Hz],D13_1 [ppm],Time_2 [s],f1_2 [Hz],D1_2 [ppm],f3_2 [Hz],D3_2 [ppm],f5_2 [Hz],D5_2 [ppm],f7_2 [Hz],D7_2 [ppm],f9_2 [Hz],D9_2 [ppm],f11_2 [Hz],D11_2 [ppm],f13_2 [Hz],D13_2 [ppm],Time_3 [s],f1_3 [Hz],D1_3 [ppm],f3_3 [Hz],D3_3 [ppm],f5_3 [Hz],D5_3 [ppm],f7_3 [Hz],D7_3 [ppm],f9_3 [Hz],D9_3 [ppm],f11_3 [Hz],D11_3 [ppm],f13_3 [Hz],D13_3 [ppm],Time_4 [s],f1_4 [Hz],D1_4 [ppm],f3_4 [Hz],D3_4 [ppm],f5_4 [Hz],D5_4 [ppm],f7_4 [Hz],D7_4 [ppm],f9_4 [Hz],D9_4 [ppm],f11_4 [Hz],D11_4 [ppm],f13_4 [Hz],D13_4 [ppm]
0.33,4955137.84,333.96,14847834.61,177.14,24742415.24,136.47,34635614.37,111.71,44529720.61,99.79,54423636.43,90.42,64318252.9,83.63,0.8,4952264.08,345.8,14839973.02,175.37,24729515.28,135.48,34617717.11,111.55,44506915.67,99.37,54395959.53,88.15,64285725.57,85.89,1.16,4951336.22,345.52,14837143.48,177.23,24724832.26,136.36,34611203.71,112.03,44498557.93,100.1,54385736.75,89.62,64273681.24,85.95,1.67,4955699.5,348.69,14848872.22,177.75,24744078.6,136.63,34637936.08,112.0,44532708.32,100.27,54427319.13,91.98,64322660.96,86.21
2.18,4955137.83,333.96,14847835.0,177.13,24742415.53,136.48,34635614.07,111.69,44529720.0,99.78,54423637.97,90.42,64318248.64,83.62,2.66,4952264.04,345.8,14839972.86,175.37,24729515.77,135.37,34617716.68,111.59,44506915.34,99.4,54395957.41,88.22,64285727.11,85.69,3.03,4951336.17,345.54,14837143.81,177.23,24724832.29,136.32,34611203.92,112.01,44498557.76,100.1,54385734.34,89.68,64273684.21,85.88,3.54,4955699.48,348.65,14848871.86,177.81,24744078.29,136.63,34637935.72,112.01,44532707.75,100.27,54427320.52,91.99,64322662.49,86.22
3.9,4955137.71,334.02,14847834.69,177.1,24742414.57,136.49,34635614.59,111.68,44529720.87,99.78,54423635.02,90.47,64318242.54,83.61,4.26,4952263.89,345.81,14839973.18,175.36,24729514.08,135.42,34617716.66,111.59,44506915.25,99.41,54395958.03,88.1,64285732.78,85.8,4.68,4951336.18,345.51,14837143.65,177.23,24724833.09,136.34,34611204.19,112.0,44498558.15,100.1,54385738.41,89.65,64273673.87,86.1,5.06,4955699.4,348.7,14848872.23,177.77,24744078.69,136.62,34637935.59,112.01,44532708.13,100.28,54427320.73,91.93,64322663.61,85.97
5.42,4955137.63,334.06,14847834.46,177.11,24742414.84,136.52,34635614.27,111.69,44529720.8,99.77,54423638.19,90.45,64318250.94,83.43,5.8,4952263.94,345.85,14839972.85,175.35,24729515.22,135.2,34617717.19,111.58,44506916.21,99.42,54395956.97,88.24,64285726.95,85.55,6.17,4951336.11,345.5,14837144.04,177.3,24724832.36,136.37,34611203.57,112.02,44498557.93,100.09,54385737.35,89.62,64273682.65,85.79,6.52,4955699.32,348.77,14848871.9,177.73,24744078.41,136.65,34637935.94,112.02,44532709.34,100.25,54427320.22,91.99,64322665.5,86.08
6.88,4955137.61,334.03,14847834.42,177.14,24742415.29,136.51,34635614.67,111.71,44529720.66,99.77,54423637.37,90.48,64318249.42,83.57,7.34,4952263.83,345.85,14839973.14,175.32,24729516.48,135.48,34617717.45,111.58,44506916.11,99.39,54395956.65,88.21,64285728.8,85.63,7.93,4951336.06,345.54,14837144.42,177.28,24724832.47,136.41,34611204.75,111.98,44498559.07,100.09,54385737.81,89.65,64273676.44,86.1,8.29,4955699.37,348.71,14848872.22,177.75,24744078.82,136.68,34637935.82,111.98,44532709.01,100.27,54427317.5,92.02,64322672.14,86.05
8.77,4955137.55,334.1,14847834.58,177.14,24742414.9,136.47,34635614.79,111.67,44529721.41,99.78,54423636.51,90.42,64318244.57,83.56,9.16,4952263.73,345.88,14839973.07,175.36,24729515.2,135.37,34617717.47,111.57,44506915.83,99.42,54395957.46,88.25,64285729.58,85.81,9.66,4951336.02,345.49,14837143.96,177.28,24724832.59,136.36,34611203.71,111.99,44498558.63,100.11,54385735.51,89.67,64273681.23,85.9,10.17,4955699.4,348.69,14848872.02,177.74,24744077.99,136.63,34637935.46,111.98,44532708.71,100.26,54427322.92,91.99,64322661.81,85.8
10.69,4955137.31,334.18,14847834.85,177.15,24742415.42,136.47,34635614.77,111.7,44529720.9,99.77,54423637.51,90.47,64318246.08,83.96,11.19,4952263.71,345.92,14839972.83,175.32,24729517.04,135.45,34617717.51,111.61,44506915.49,99.39,54395957.65,88.15,64285735.4,85.84,11.57,4951336.14,345.52,14837144.18,177.27,24724832.99,136.32,34611204.5,111.99,44498558.51,100.11,54385735.77,89.64,64273677.8,85.87,12.06,4955699.29,348.73,14848872.32,177.79,24744078.8,136.68,34637936.66,112.04,44532708.77,100.28,54427320.73,92.05,64322665.77,86.15
12.55,4955137.41,334.18,14847834.83,177.12,24742415.07,136.49,34635615.32,111.75,44529721.7,99.78,54423638.03,90.44,64318247.28,83.79,13.04,4952263.78,345.96,14839973.06,175.37,24729515.39,135.39,34617717.06,111.6,44506916.11,99.4,54395958.41,88.16,64285730.45,85.84,13.43,4951336.0,345.56,14837143.77,177.21,24724833.05,136.37,34611204.32,112.03,44498558.27,100.11,54385735.31,89.65,64273677.84,85.99,13.99,4955699.24,348.69,14848872.15,177.77,24744078.53,136.67,34637936.36,111.98,44532708.71,100.3,54427319.7,91.98,64322666.35,85.89
14.39,4955137.22,334.24,14847834.85,177.16,24742415.03,136.48,34635614.43,111.69,44529720.99,99.79,54423638.23,90.48,64318248.5,83.55,14.8,4952263.78,345.97,14839973.28,175.37,24729515.95,135.41,34617717.07,111.59,44506915.14,99.42,54395960.0,88.18,64285728.4,85.81,15.22,4951336.04,345.56,14837143.82,177.23,24724832.92,136.37,34611204.49,112.03,44498559.26,100.08,54385736.89,89.62,64273681.75,86.14,15.59,4955699.17,348.72,14848872.03,177.76,24744078.72,136.62,34637936.25,112.01,44532708.71,100.26,54427318.56,91.92,64322671.58,86.15
15.97,4955137.07,334.29,14847834.98,177.13,24742415.78,136.48,34635614.59,111.68,44529721.23,99.75,54423638.35,90.48,64318249.48,83.62,16.34,4952263.57,345.94,14839972.96,175.35,24729515.28,135.53,34617716.81,111.57,44506916.14,99.41,54395957.85,88.18,64285734.64,85.73,16.74,4951335.89,345.56,14837143.66,177.23,24724832.37,136.34,34611204.16,111.98,44498559.2,100.09,54385737.58,89.62,64273680.37,86.14,17.15,4955699.28,348.76,14848872.53,177.74,24744079.25,136.63,34637936.37,111.99,44532708.74,100.27,54427321.0,91.99,64322669.09,85.91
