Time_1 [s];f1_1 [Hz];D1_1 [ppm];f3_1 [Hz];D3_1 [ppm];f5_1 [Hz];D5_1 [ppm];f7_1 [Hz];D7_1 [ppm];f9_1 [Hz];D9_1 [ppm];f11_1 [Hz];D11_1 [ppm];f13_1 [Hz];D13_1 [ppm]
0.08;4948740.99;340.10;14829181.47;173.20;24711278.18;135.57;34592050.86;119.91;44473892.89;101.09;54355281.86;88.32;64237383.15;82.34
0.43;4948740.45;340.12;14829181.57;173.21;24711278.30;135.58;34592050.73;119.92;44473892.09;101.10;54355280.17;88.28;64237385.40;82.35
0.78;4948740.72;340.26;14829181.71;173.19;24711278.27;135.56;34592051.17;119.94;44473891.68;101.11;54355280.38;88.32;64237382.03;82.29
1.13;4948740.45;340.13;14829181.66;173.19;24711278.26;135.58;34592050.23;119.93;44473892.36;101.11;54355280.95;88.30;64237385.16;82.32
1.48;4948740.68;340.29;14829181.60;173.21;24711278.30;135.59;34592050.66;119.92;44473892.23;101.09;54355282.25;88.30;64237384.88;82.45
1.83;4948740.33;340.00;14829181.81;173.21;24711278.24;135.57;34592050.54;119.95;44473893.10;101.10;54355282.38;88.26;64237383.65;82.28
2.18;4948739.92;340.55;14829181.65;173.20;24711278.19;135.58;34592050.53;119.91;44473892.82;101.07;54355282.71;88.25;64237387.31;82.27
2.53;4948740.52;339.89;14829181.62;173.20;24711278.01;135.57;34592050.66;119.91;44473892.94;101.07;54355281.86;88.26;64237386.27;82.57
2.88;4948740.03;340.51;14829181.67;173.21;24711277.85;135.56;34592050.94;119.95;44473892.39;101.10;54355282.60;88.17;64237386.63;82.33
3.23;4948739.92;340.43;14829181.70;173.20;24711278.07;135.57;34592051.27;119.94;44473892.05;101.08;54355279.33;88.30;64237388.34;82.37
3.58;4948740.51;340.32;14829181.71;173.21;24711278.15;135.57;34592050.94;119.93;44473891.55;101.09;54355282.33;88.28;64237389.42;82.31
3.93;4948739.97;340.54;14829181.67;173.19;24711278.05;135.57;34592051.13;119.94;44473892.12;101.10;54355281.25;88.27;64237385.73;82.48
4.28;4948740.90;341.25;14829181.62;173.19;24711278.54;135.59;34592051.12;119.92;44473893.39;101.07;54355282.10;88.25;64237382.68;82.34
4.63;4948738.43;340.89;14829181.85;173.16;24711278.57;135.57;34592051.52;119.91;44473893.44;101.05;54355283.14;88.26;64237386.72;82.40
