Time_1 [s],f1_1 [Hz],D1_1 [ppm],f3_1 [Hz],D3_1 [ppm],f5_1 [Hz],D5_1 [ppm],f7_1 [Hz],D7_1 [ppm],f9_1 [Hz],D9_1 [ppm],f11_1 [Hz],D11_1 [ppm],f13_1 [Hz],D13_1 [ppm]
0.09,4950272.38,348.86,14833238.23,178.2,24718130.95,138.37,34601728.0,114.06,44486285.63,100.49,54370705.36,91.58,64255961.42,86.98
0.45,4950272.48,349.09,14833238.18,178.19,24718131.72,138.32,34601727.54,114.05,44486286.73,100.53,54370704.7,91.57,64255961.69,86.98
0.8,4950271.0,349.2,14833238.49,178.23,24718130.51,138.37,34601727.75,114.06,44486285.8,100.61,54370705.07,91.57,64255961.5,86.99
1.15,4950272.4,349.28,14833238.31,178.18,24718130.55,138.36,34601728.24,114.05,44486286.04,100.54,54370703.9,91.55,64255959.61,86.96
1.82,4950271.6,348.49,14833238.27,178.2,24718130.37,138.36,34601728.46,114.04,44486285.77,100.56,54370704.43,91.56,64255958.87,86.99
2.28,4950272.59,349.35,14833238.25,178.16,24718131.05,138.36,34601727.63,114.04,44486285.72,100.54,54370704.6,91.57,64255958.63,86.97
2.64,4950271.87,348.65,14833238.2,178.17,24718131.1,138.35,34601728.07,114.04,44486285.69,100.6,54370705.7,91.56,64255961.04,86.95
2.99,4950271.9,348.92,14833238.82,178.23,24718131.13,138.37,34601727.8,114.06,44486286.42,100.52,54370704.65,91.59,64255960.45,86.92
3.35,4950271.36,349.0,14833238.46,178.18,24718131.04,138.37,34601728.87,114.1,44486286.39,100.53,54370702.89,91.52,64255960.73,86.95
3.71,4950272.0,349.69,14833238.19,178.2,24718130.53,138.39,34601727.87,114.11,44486285.91,100.52,54370704.6,91.59,64255963.49,86.98
4.28,4950271.32,349.58,14833238.18,178.21,24718130.98,138.38,34601729.19,114.09,44486286.48,100.54,54370703.61,91.57,64255960.81,86.98
4.84,4950271.68,348.75,14833238.52,178.18,24718130.8,138.33,34601727.46,114.05,44486286.31,100.53,54370705.09,91.55,64255961.15,86.96
5.19,4950272.47,349.11,14833238.26,178.16,24718131.03,138.35,34601727.85,114.04,44486286.85,100.49,54370705.38,91.56,64255961.13,87.0
5.54,4950273.54,348.99,14833238.56,178.21,24718130.96,138.38,34601728.01,114.04,44486285.99,100.59,54370703.89,91.63,64255961.43,86.94
5.89,4950272.11,349.25,14833238.33,178.17,24718131.37,138.35,34601728.52,114.04,44486285.71,100.66,54370704.97,91.56,64255959.62,86.97
6.25,4950272.16,349.28,14833238.7,178.17,24718130.68,138.32,34601728.32,114.08,44486286.45,100.55,54370703.58,91.63,64255960.69,86.98
6.81,4950272.69,349.12,14833238.13,178.18,24718131.29,138.35,34601727.62,114.04,44486287.6,100.53,54370703.21,91.54,64255960.43,86.92
7.26,4950272.02,349.08,14833238.34,178.23,24718131.04,138.38,34601728.16,114.09,44486285.48,100.53,54370705.75,91.59,64255960.78,86.93
7.71,4950271.9,348.77,14833238.24,178.17,24718131.54,138.36,34601728.24,114.07,44486286.52,100.58,54370704.8,91.59,64255960.7,86.97
8.06,4950272.51,349.09,14833238.6,178.17,24718131.01,138.32,34601728.22,114.06,44486286.85,100.58,54370705.32,91.57,64255961.95,86.96
8.42,4950272.98,349.0,14833238.43,178.19,24718131.47,138.38,34601727.49,114.07,44486287.49,100.6,54370706.46,91.6,64255960.25,86.96
8.77,4950272.71,349.17,14833238.28,178.17,24718131.09,138.35,34601727.43,114.08,44486285.6,100.54,54370704.49,91.61,64255959.89,86.95
9.33,4950271.85,348.85,14833238.43,178.21,24718131.06,138.35,34601728.33,114.09,44486285.79,100.54,54370706.38,91.61,64255959.87,86.95
9.79,4950272.45,349.05,14833238.77,178.17,24718130.68,138.32,34601727.85,114.09,44486286.2,100.52,54370705.87,91.61,64255961.07,86.96
10.15,4950272.16,348.78,14833238.33,178.19,24718131.07,138.33,34601730.1,114.05,44486287.8,100.55,54370704.87,91.6,64255960.88,86.94
10.6,4950272.13,349.02,14833238.77,178.22,24718131.33,138.38,34601728.42,114.1,44486287.62,100.56,54370705.15,91.6,64255958.9,86.92
10.96,4950272.1,348.95,14833238.58,178.2,24718131.48,138.35,34601727.61,114.05,44486286.16,100.52,54370705.91,91.53,64255960.69,86.96
11.32,4950273.04,348.86,14833238.54,178.21,24718130.34,138.41,34601728.3,114.05,44486285.87,100.55,54370704.73,91.55,64255961.35,86.97
11.88,4950272.99,349.08,14833238.29,178.16,24718131.13,138.36,34601727.76,114.06,44486286.65,100.54,54370704.95,91.55,64255961.13,86.97
12.34,4950272.86,348.78,14833237.84,178.2,24718130.73,138.39,34601727.3,114.09,44486286.79,100.49,54370703.77,91.58,64255959.83,86.96
12.7,4950271.18,349.55,14833238.41,178.22,24718131.06,138.36,34601728.26,114.04,44486285.19,100.54,54370706.75,91.6,64255961.65,86.91
13.05,4950271.23,349.85,14833238.8,178.22,24718131.1,138.33,34601729.23,114.04,44486286.93,100.63,54370705.42,91.58,64255962.22,86.97
13.5,4950271.16,349.8,14833238.48,178.2,24718130.94,138.44,34601728.64,114.07,44486286.96,100.51,54370706.04,91.6,64255960.74,86.91
13.85,4950271.42,349.63,14833238.58,178.2,24718131.41,138.38,34601728.3,114.07,44486285.15,100.55,54370705.42,91.6,64255960.97,86.95
14.41,4950271.15,349.71,14833238.11,178.22,24718131.16,138.41,34601727.62,114.07,44486287.17,100.48,54370705.69,91.59,64255962.71,86.95
14.86,4950271.83,349.06,14833238.29,178.12,24718131.57,138.38,34601728.64,114.06,44486284.68,100.59,54370706.49,91.59,64255961.32,86.93
15.22,4950271.44,348.57,14833238.2,178.21,24718132.11,138.39,34601727.8,114.07,44486286.19,100.59,54370704.38,91.59,64255962.75,86.94
15.57,4950272.95,348.79,14833238.63,178.16,24718131.02,138.39,34601728.2,114.05,44486285.4,100.59,54370705.79,91.57,64255960.75,86.97
15.92,4950272.08,349.01,14833238.3,178.2,24718131.0,138.36,34601728.28,114.04,44486286.3,100.59,54370705.26,91.55,64255960.07,86.95
16.37,4950272.48,348.99,14833238.43,178.2,24718131.0,138.38,34601728.32,114.05,44486285.68,100.59,54370704.6,91.63,64255960.48,86.91
16.93,4950272.07,348.64,14833237.9,178.21,24718130.69,138.34,34601727.92,114.09,44486286.22,100.56,54370705.5,91.62,64255959.96,86.95
17.38,4950272.79,348.82,14833238.81,178.22,24718130.7,138.34,34601728.66,114.07,44486285.23,100.52,54370704.37,91.58,64255960.84,86.95
17.73,4950272.48,349.3,14833238.35,178.19,24718131.19,138.32,34601727.91,114.07,44486286.63,100.49,54370705.23,91.66,64255961.22,86.92
18.09,4950272.7,349.04,14833238.69,178.2,24718131.08,138.35,34601728.08,114.06,44486286.16,100.6,54370704.48,91.6,64255960.44,87.01
18.44,4950272.77,349.14,14833238.22,178.18,24718131.11,138.41,34601727.68,114.09,44486285.68,100.64,54370704.72,91.55,64255960.87,86.98
18.79,4950272.36,349.21,14833238.59,178.19,24718130.77,138.36,34601728.17,114.02,44486285.65,100.45,54370705.61,91.6,64255961.05,86.92
19.45,4950272.34,349.18,14833238.14,178.19,24718131.24,138.4,34601729.04,114.02,44486286.99,100.53,54370704.63,91.58,64255961.31,86.95
19.9,4950272.03,349.49,14833238.12,178.19,24718131.18,138.39,34601728.21,114.07,44486286.28,100.56,54370704.92,91.57,64255961.58,86.91
20.25,4950272.87,348.68,14833238.17,178.17,24718131.24,138.37,34601729.34,114.06,44486287.34,100.57,54370705.33,91.6,64255961.79,86.92
