Time_1 [s],f1_1 [Hz],D1_1 [ppm],f3_1 [Hz],D3_1 [ppm],f5_1 [Hz],D5_1 [ppm],f7_1 [Hz],D7_1 [ppm],f9_1 [Hz],D9_1 [ppm],f11_1 [Hz],D11_1 [ppm],f13_1 [Hz],D13_1 [ppm]
0.1,4948745.43,354.12,14829188.15,177.67,24711322.19,138.08,34592109.99,113.39,44473767.61,99.36,54355192.79,89.21,64237327.67,83.75
0.55,4948745.38,354.35,14829188.42,177.72,24711323.23,138.06,34592109.54,113.38,44473766.34,99.39,54355192.86,89.21,64237328.49,83.68
1.02,4948744.85,353.89,14829188.56,177.69,24711323.02,138.07,34592109.7,113.41,44473765.75,99.38,54355190.6,89.22,64237326.02,83.69
1.37,4948745.52,354.27,14829188.52,177.69,24711322.89,138.13,34592108.57,113.39,44473766.76,99.34,54355192.26,89.24,64237328.25,83.63
1.84,4948744.45,354.5,14829188.54,177.66,24711323.12,138.12,34592109.39,113.38,44473765.48,99.35,54355192.88,89.23,64237329.63,83.68
2.19,4948744.94,354.21,14829188.98,177.67,24711323.16,138.1,34592109.12,113.36,44473766.12,99.43,54355193.79,89.24,64237327.74,83.68
2.54,4948744.74,354.33,14829188.87,177.68,24711323.2,138.09,34592109.54,113.39,44473768.29,99.32,54355191.06,89.23,64237326.45,83.71
3.1,4948745.46,354.2,14829188.64,177.66,24711322.37,138.07,34592108.9,113.38,44473768.69,99.35,54355193.48,89.26,64237329.0,83.64
3.57,4948745.73,354.01,14829188.59,177.68,24711323.24,138.05,34592108.35,113.34,44473766.16,99.47,54355192.36,89.26,64237326.46,83.7
3.93,4948745.55,354.19,14829188.51,177.68,24711323.14,138.09,34592108.22,113.42,44473767.19,99.33,54355192.78,89.23,64237326.45,83.66
4.38,4948745.1,354.37,14829188.3,177.68,24711322.27,138.07,34592108.85,113.45,44473765.36,99.35,54355191.56,89.2,64237326.96,83.68
4.75,4948745.13,354.31,14829188.81,177.71,24711323.0,138.08,34592109.67,113.36,44473766.19,99.39,54355192.26,89.22,64237328.37,83.67
5.21,4948744.73,354.23,14829188.8,177.71,24711322.53,138.11,34592110.01,113.36,44473767.78,99.35,54355193.28,89.25,64237325.92,83.68
5.67,4948744.94,354.36,14829188.42,177.72,24711322.24,138.13,34592109.16,113.42,44473766.53,99.3,54355191.49,89.24,64237328.47,83.68
6.23,4948744.9,354.13,14829188.72,177.69,24711323.28,138.04,34592108.67,113.4,44473765.47,99.37,54355190.89,89.25,64237327.58,83.68
6.58,4948745.34,354.3,14829188.12,177.69,24711323.09,138.1,34592108.35,113.39,44473765.89,99.37,54355194.61,89.21,64237326.87,83.69
7.04,4948745.28,354.0,14829188.36,177.7,24711323.53,138.11,34592109.05,113.4,44473765.74,99.37,54355194.03,89.18,64237328.01,83.65
7.4,4948745.54,354.23,14829189.0,177.67,24711323.0,138.08,34592108.95,113.43,44473765.32,99.39,54355194.48,89.23,64237326.5,83.63
7.76,4948745.08,354.23,14829188.39,177.68,24711322.83,138.09,34592110.02,113.36,44473766.52,99.34,54355192.19,89.23,64237327.27,83.64
8.31,4948744.88,354.18,14829188.43,177.65,24711322.65,138.08,34592109.12,113.41,44473769.58,99.35,54355192.61,89.2,64237326.82,83.69
8.79,4948744.4,354.14,14829188.67,177.7,24711323.2,138.11,34592108.8,113.33,44473765.37,99.34,54355195.74,89.22,64237327.68,83.7
9.14,4948745.03,354.22,14829188.29,177.66,24711323.65,138.14,34592109.88,113.37,44473766.31,99.3,54355193.2,89.2,64237327.59,83.71
9.6,4948745.69,354.33,14829188.42,177.69,24711322.98,138.06,34592108.94,113.4,44473768.53,99.37,54355192.93,89.17,64237327.28,83.63
9.95,4948745.81,354.11,14829188.36,177.68,24711323.08,138.06,34592108.98,113.39,44473767.28,99.39,54355194.09,89.27,64237326.57,83.68
10.31,4948745.12,353.91,14829188.49,177.7,24711323.63,138.16,34592110.62,113.35,44473766.61,99.35,54355194.55,89.23,64237326.62,83.7
10.87,4948745.36,354.2,14829188.46,177.68,24711323.2,138.06,34592109.11,113.33,44473767.77,99.43,54355193.12,89.25,64237326.94,83.73
11.35,4948745.28,354.03,14829188.7,177.65,24711322.84,138.08,34592108.42,113.39,44473767.05,99.43,54355193.95,89.25,64237327.44,83.71
11.7,4948744.19,354.37,14829188.68,177.72,24711323.94,138.09,34592109.66,113.39,44473765.5,99.38,54355194.67,89.2,64237326.3,83.61
12.16,4948744.69,354.29,14829188.54,177.64,24711322.81,138.06,34592108.54,113.4,44473767.21,99.37,54355192.32,89.22,64237326.91,83.63
12.53,4948744.78,354.15,14829188.49,177.7,24711322.94,138.08,34592108.75,113.39,44473767.07,99.35,54355190.81,89.2,64237327.53,83.66
12.88,4948745.01,353.93,14829188.65,177.71,24711322.88,138.1,34592109.79,113.39,44473765.91,99.37,54355194.6,89.19,64237326.01,83.68
13.43,4948745.51,354.31,14829188.43,177.68,24711323.63,138.08,34592108.98,113.41,44473768.2,99.37,54355193.65,89.22,64237327.89,83.67
13.9,4948745.15,353.98,14829188.59,177.68,24711322.85,138.06,34592108.84,113.38,44473767.63,99.33,54355192.59,89.25,64237327.58,83.66
14.25,4948745.07,354.17,14829188.66,177.68,24711323.03,138.06,34592108.65,113.43,44473767.82,99.41,54355194.5,89.28,64237326.77,83.67
14.71,4948745.71,354.08,14829188.42,177.66,24711323.54,138.13,34592109.43,113.35,44473767.81,99.36,54355192.16,89.18,64237327.42,83.68
15.06,4948745.56,354.1,14829188.33,177.67,24711322.85,138.04,34592108.86,113.41,44473768.12,99.35,54355193.05,89.19,64237327.86,83.61
15.41,4948745.58,354.2,14829188.76,177.67,24711322.3,138.09,34592110.52,113.36,44473766.12,99.46,54355191.81,89.22,64237326.67,83.72
15.96,4948745.63,354.05,14829189.07,177.7,24711322.36,138.1,34592109.62,113.39,44473765.84,99.32,54355193.16,89.2,64237328.91,83.67
16.42,4948745.42,354.04,14829188.69,177.71,24711322.23,138.02,34592108.07,113.38,44473766.28,99.37,54355191.77,89.19,64237327.62,83.67
16.78,4948745.5,354.11,14829188.59,177.73,24711323.17,138.1,34592107.94,113.38,44473765.16,99.37,54355193.22,89.25,64237328.93,83.65
17.23,4948745.76,354.07,14829188.69,177.7,24711322.89,138.1,34592108.33,113.41,44473768.14,99.37,54355193.63,89.23,64237327.18,83.7
17.59,4948745.31,353.96,14829188.81,177.77,24711322.57,138.07,34592109.27,113.39,44473768.39,99.37,54355193.43,89.25,64237326.99,83.74
17.94,4948745.23,354.4,14829188.61,177.7,24711323.3,138.07,34592109.2,113.29,44473765.72,99.41,54355192.47,89.26,64237326.89,83.67
18.49,4948745.05,354.03,14829188.64,177.73,24711322.96,138.07,34592107.76,113.38,44473766.11,99.43,54355192.91,89.23,64237327.97,83.65
18.95,4948745.08,354.66,14829188.43,177.67,24711323.23,138.08,34592109.33,113.39,44473766.66,99.32,54355192.5,89.22,64237327.49,83.73
19.31,4948744.69,354.28,14829188.41,177.74,24711323.42,138.1,34592109.06,113.36,44473765.38,99.29,54355192.94,89.25,64237328.19,83.73
19.76,4948745.64,353.86,14829188.78,177.68,24711323.02,138.1,34592109.44,113.37,44473767.24,99.33,54355193.62,89.25,64237326.38,83.7
20.12,4948745.16,354.37,14829188.62,177.69,24711323.26,138.11,34592109.41,113.37,44473767.21,99.35,54355193.14,89.21,64237328.14,83.71
20.47,4948746.73,355.35,14829188.86,177.67,24711323.09,138.09,34592109.78,113.31,44473769.1,99.42,54355195.26,89.29,64237327.74,83.64
21.02,4948746.88,355.24,14829188.75,177.7,24711323.9,138.12,34592110.02,113.36,44473766.84,99.35,54355192.48,89.25,64237326.97,83.63
21.48,4948746.67,355.2,14829188.84,177.67,24711322.82,138.12,34592109.0,113.43,44473767.59,99.29,54355193.62,89.21,64237328.14,83.71
21.84,4948746.73,355.21,14829188.76,177.73,24711322.78,138.14,34592108.79,113.41,44473766.62,99.36,54355192.04,89.23,64237328.91,83.69
22.3,4948746.44,355.22,14829188.81,177.7,24711323.14,138.07,34592109.48,113.32,44473766.41,99.3,54355191.56,89.22,64237327.91,83.67
22.65,4948746.52,355.15,14829188.31,177.65,24711323.38,138.06,34592108.77,113.36,44473766.74,99.36,54355191.83,89.23,64237326.91,83.68
23.0,4948746.66,355.14,14829188.71,177.67,24711323.22,138.11,34592109.8,113.38,44473768.02,99.27,54355194.57,89.24,64237327.34,83.65
23.55,4948746.91,355.15,14829188.52,177.69,24711322.93,138.06,34592108.77,113.38,44473765.03,99.38,54355192.87,89.25,64237328.12,83.64
24.02,4948746.25,355.15,14829188.59,177.67,24711322.93,138.14,34592108.64,113.36,44473766.15,99.37,54355191.54,89.24,64237328.44,83.68
24.37,4948746.5,355.12,14829188.17,177.65,24711322.23,138.04,34592109.58,113.42,44473764.94,99.35,54355193.31,89.24,64237327.54,83.68
24.83,4948746.58,355.14,14829188.6,177.68,24711322.61,138.06,34592109.07,113.39,44473765.96,99.4,54355193.32,89.24,64237329.26,83.64
25.19,4948746.1,353.9,14829188.41,177.71,24711322.19,138.08,34592108.16,113.36,44473765.28,99.34,54355192.3,89.22,64237327.69,83.65
25.54,4948745.5,354.03,14829188.41,177.66,24711322.83,138.06,34592110.14,113.39,44473767.33,99.36,54355192.86,89.22,64237325.73,83.63
26.09,4948746.26,354.22,14829188.4,177.71,24711322.4,138.09,34592109.28,113.41,44473767.64,99.46,54355192.78,89.24,64237327.31,83.63
26.55,4948745.69,353.9,14829188.47,177.67,24711322.35,138.07,34592107.8,113.41,44473765.18,99.47,54355192.68,89.27,64237326.33,83.66
26.9,4948745.12,354.08,14829188.22,177.71,24711322.22,138.1,34592108.95,113.38,44473766.19,99.34,54355193.23,89.24,64237327.04,83.7
27.36,4948744.32,354.35,14829188.51,177.7,24711323.22,138.11,34592109.34,113.37,44473767.76,99.34,54355193.08,89.26,64237328.25,83.69
27.71,4948745.63,354.06,14829188.66,177.7,24711323.0,138.16,34592109.42,113.33,44473767.06,99.31,54355193.83,89.21,64237327.66,83.67
28.07,4948746.76,354.36,14829188.93,177.67,24711322.99,138.09,34592110.0,113.35,44473764.8,99.36,54355191.52,89.3,64237327.02,83.68
28.62,4948745.8,354.38,14829188.74,177.7,24711323.06,138.14,34592110.55,113.38,44473767.65,99.39,54355191.1,89.23,64237328.59,83.73
29.09,4948745.69,354.12,14829188.14,177.68,24711323.12,138.06,34592109.03,113.33,44473766.02,99.41,54355192.97,89.19,64237326.5,83.71
29.44,4948745.26,354.44,14829188.1,177.71,24711323.47,138.12,34592108.2,113.41,44473766.81,99.32,54355194.19,89.23,64237328.51,83.7
29.89,4948745.72,354.2,14829188.26,177.66,24711323.77,138.08,34592110.09,113.41,44473765.75,99.4,54355194.08,89.23,64237327.37,83.68
30.25,4948745.96,354.03,14829188.55,177.72,24711323.02,138.15,34592107.71,113.35,44473766.49,99.28,54355192.47,89.2,64237328.25,83.69
30.7,4948746.26,354.53,14829188.44,177.69,24711322.43,138.09,34592109.84,113.45,44473766.91,99.32,54355192.34,89.18,64237326.76,83.71
31.15,4948746.26,354.03,14829188.76,177.68,24711323.76,138.07,34592110.48,113.37,44473766.78,99.31,54355192.06,89.19,64237325.48,83.69
31.61,4948745.61,354.32,14829188.87,177.67,24711322.64,138.06,34592108.37,113.4,44473765.67,99.33,54355191.71,89.23,64237326.16,83.7
31.96,4948746.05,354.62,14829188.51,177.7,24711322.47,138.12,34592109.58,113.38,44473766.77,99.33,54355193.56,89.23,64237326.24,83.71
32.41,4948746.13,355.15,14829188.73,177.64,24711323.19,138.09,34592109.46,113.38,44473767.6,99.34,54355192.2,89.2,64237327.69,83.72
32.77,4948746.52,355.33,14829188.57,177.73,24711323.31,138.11,34592109.59,113.4,44473767.98,99.35,54355193.02,89.25,64237327.45,83.68
33.12,4948746.81,355.31,14829188.7,177.68,24711323.57,138.11,34592110.18,113.37,44473765.83,99.31,54355192.4,89.25,64237326.62,83.68
33.67,4948746.56,355.33,14829188.47,177.67,24711323.3,138.08,34592108.88,113.4,44473767.19,99.32,54355190.98,89.25,64237327.09,83.66
34.14,4948746.36,355.23,14829188.35,177.66,24711323.3,138.09,34592108.53,113.38,44473765.14,99.32,54355191.03,89.25,64237326.48,83.65
34.49,4948746.09,355.19,14829188.64,177.69,24711322.76,138.08,34592108.56,113.39,44473767.25,99.32,54355191.72,89.24,64237326.21,83.69
34.94,4948746.58,355.32,14829188.54,177.7,24711321.92,138.07,34592109.69,113.38,44473765.01,99.33,54355192.79,89.24,64237326.61,83.63
35.3,4948746.47,355.33,14829188.53,177.66,24711323.1,138.1,34592109.01,113.39,44473766.85,99.35,54355192.24,89.3,64237327.56,83.67
35.66,4948746.68,355.3,14829188.46,177.67,24711322.97,138.06,34592108.95,113.33,44473765.89,99.31,54355193.67,89.23,64237328.23,83.67
36.21,4948746.58,355.3,14829188.4,177.71,24711322.96,138.08,34592108.74,113.35,44473766.0,99.36,54355191.78,89.24,64237328.61,83.66
36.67,4948746.51,355.27,14829188.02,177.69,24711322.45,138.04,34592108.12,113.4,44473767.13,99.36,54355191.54,89.2,64237327.69,83.71
37.02,4948746.59,355.3,14829188.21,177.69,24711322.63,138.08,34592107.26,113.37,44473765.64,99.37,54355191.81,89.27,64237324.39,83.68
37.48,4948746.5,355.26,14829188.31,177.68,24711323.54,138.06,34592107.78,113.39,44473764.85,99.4,54355192.11,89.2,64237326.94,83.68
37.83,4948746.59,355.21,14829188.56,177.73,24711322.88,138.09,34592108.76,113.43,44473766.07,99.33,54355191.61,89.26,64237327.01,83.67
38.19,4948744.79,353.95,14829188.8,177.66,24711323.18,138.05,34592108.45,113.32,44473766.84,99.36,54355192.43,89.22,64237325.36,83.73
38.74,4948745.1,354.28,14829188.49,177.65,24711322.92,138.04,34592109.23,113.35,44473766.53,99.38,54355190.13,89.25,64237325.8,83.69
39.2,4948745.45,354.05,14829187.93,177.67,24711322.81,138.09,34592108.72,113.43,44473764.32,99.34,54355191.43,89.25,64237325.13,83.68
39.56,4948745.99,354.27,14829187.94,177.69,24711322.92,138.1,34592108.64,113.34,44473767.87,99.4,54355191.65,89.25,64237326.29,83.68
40.01,4948745.41,354.24,14829188.3,177.65,24711322.88,138.07,34592109.67,113.37,44473767.78,99.38,54355192.51,89.23,64237326.4,83.67
40.37,4948745.82,354.14,14829188.33,177.7,24711323.11,138.11,34592109.22,113.35,44473765.94,99.36,54355192.77,89.24,64237327.08,83.75
40.73,4948745.54,354.3,14829188.56,177.7,24711323.38,138.1,34592109.28,113.36,44473765.8,99.33,54355193.81,89.2,64237327.8,83.62
41.29,4948744.76,354.53,14829188.66,177.76,24711322.71,138.08,34592108.83,113.41,44473766.89,99.38,54355192.54,89.17,64237328.76,83.66
41.75,4948745.14,354.26,14829188.23,177.72,24711322.48,138.09,34592109.15,113.39,44473765.6,99.23,54355193.24,89.1,64237329.22,83.67
42.11,4948745.17,354.27,14829188.48,177.74,24711322.82,138.09,34592109.99,113.42,44473768.01,99.38,54355194.46,89.23,64237329.25,83.71
42.57,4948745.15,354.31,14829188.47,177.65,24711323.02,138.12,34592109.34,113.41,44473765.95,99.47,54355192.56,89.24,64237329.2,83.71
42.93,4948745.76,354.05,14829188.77,177.7,24711323.07,138.14,34592108.75,113.37,44473767.48,99.36,54355192.9,89.21,64237327.45,83.7
43.38,4948744.85,354.06,14829188.57,177.72,24711323.11,138.04,34592109.2,113.33,44473766.85,99.3,54355190.97,89.25,64237327.79,83.68
43.85,4948744.83,354.36,14829188.42,177.7,24711322.9,138.05,34592109.99,113.36,44473767.26,99.38,54355193.12,89.25,64237328.68,83.66
44.32,4948744.8,354.26,14829188.85,177.65,24711323.4,138.1,34592108.92,113.39,44473766.9,99.35,54355192.88,89.29,64237328.64,83.68
44.67,4948745.58,354.3,14829188.65,177.75,24711323.69,138.1,34592109.27,113.39,44473768.24,99.37,54355193.97,89.2,64237327.94,83.71
45.13,4948745.43,354.03,14829188.52,177.68,24711323.52,138.04,34592109.7,113.37,44473767.17,99.4,54355193.07,89.21,64237329.89,83.71
45.49,4948745.24,354.17,14829188.69,177.71,24711323.19,138.04,34592109.38,113.39,44473767.06,99.38,54355192.39,89.23,64237328.22,83.67
45.84,4948744.56,354.3,14829188.43,177.72,24711323.24,138.09,34592109.38,113.4,44473768.05,99.39,54355194.85,89.24,64237327.57,83.67
46.4,4948745.09,354.33,14829188.54,177.7,24711323.89,138.11,34592109.38,113.4,44473765.97,99.37,54355192.56,89.22,64237327.27,83.61
46.87,4948745.59,354.34,14829188.62,177.7,24711323.82,138.08,34592109.08,113.33,44473765.62,99.37,54355193.14,89.27,64237327.02,83.63
47.24,4948745.01,354.32,14829188.62,177.7,24711323.37,138.1,34592108.03,113.32,44473766.41,99.33,54355194.81,89.18,64237328.39,83.68
47.7,4948743.79,354.49,14829188.28,177.69,24711323.89,138.12,34592108.64,113.38,44473767.29,99.34,54355193.84,89.18,64237327.16,83.65
48.05,4948744.48,354.08,14829188.89,177.7,24711322.64,138.1,34592110.53,113.37,44473767.78,99.34,54355193.01,89.29,64237328.54,83.69
48.41,4948745.02,354.49,14829188.46,177.71,24711322.8,138.06,34592109.67,113.37,44473767.88,99.38,54355191.98,89.27,64237327.92,83.7
48.96,4948744.16,354.42,14829188.81,177.66,24711322.94,138.07,34592109.77,113.39,44473767.27,99.36,54355194.35,89.25,64237325.92,83.7
49.42,4948744.91,354.14,14829189.0,177.73,24711323.3,138.09,34592109.75,113.36,44473768.17,99.36,54355194.72,89.21,64237327.38,83.71
49.77,4948744.71,354.23,14829188.9,177.71,24711323.12,138.09,34592109.19,113.33,44473766.39,99.42,54355194.13,89.2,64237329.07,83.66
50.24,4948745.87,354.62,14829188.41,177.68,24711324.07,138.08,34592109.21,113.36,44473767.23,99.35,54355194.34,89.23,64237329.1,83.66
50.59,4948744.75,354.28,14829188.58,177.68,24711322.4,138.05,34592109.43,113.37,44473768.24,99.33,54355194.87,89.24,64237329.57,83.66
50.94,4948744.4,354.58,14829188.65,177.68,24711323.62,138.08,34592110.54,113.37,44473768.34,99.36,54355193.18,89.25,64237329.28,83.68
51.49,4948744.4,354.57,14829188.78,177.74,24711323.1,138.12,34592110.22,113.36,44473766.72,99.38,54355195.29,89.17,64237328.57,83.64
51.95,4948744.54,354.49,14829188.58,177.72,24711323.2,138.11,34592108.82,113.41,44473767.27,99.45,54355192.26,89.26,64237326.03,83.66
52.3,4948744.55,354.25,14829188.43,177.7,24711323.1,138.12,34592110.14,113.37,44473767.31,99.43,54355194.28,89.27,64237329.32,83.65
52.76,4948744.08,354.34,14829188.73,177.67,24711323.65,138.1,34592109.34,113.36,44473767.05,99.44,54355193.24,89.24,64237328.38,83.65
53.11,4948744.85,354.24,14829188.98,177.72,24711323.5,138.03,34592109.97,113.41,44473767.38,99.33,54355194.04,89.31,64237326.88,83.74
53.46,4948745.53,354.23,14829188.88,177.69,24711323.37,138.06,34592110.8,113.37,44473768.48,99.4,54355193.51,89.23,64237327.67,83.69
54.01,4948744.91,354.21,14829188.42,177.7,24711323.74,138.01,34592109.76,113.41,44473767.0,99.35,54355192.84,89.28,64237328.44,83.72
