Time_1 [s];f1_1 [Hz];D1_1 [ppm];f3_1 [Hz];D3_1 [ppm];f5_1 [Hz];D5_1 [ppm];f7_1 [Hz];D7_1 [ppm];f9_1 [Hz];D9_1 [ppm];f11_1 [Hz];D11_1 [ppm];f13_1 [Hz];D13_1 [ppm]
0.09;4950259.31;351.93;14833204.57;177.96;24718074.53;138.19;34601646.63;114.04;44486188.02;100.46;54370579.75;91.55;64255810.90;86.98
0.44;4950259.62;351.65;14833204.94;177.90;24718073.67;138.21;34601646.59;114.08;44486189.37;100.57;54370585.39;91.54;64255822.78;86.91
0.99;4950260.64;351.86;14833207.57;177.86;24718078.53;138.20;34601651.39;114.06;44486192.45;100.57;54370584.89;91.55;64255813.04;86.89
1.34;4950260.55;351.92;14833205.71;177.92;24718077.35;138.22;34601651.47;114.00;44486197.60;100.52;54370592.55;91.53;64255826.36;86.89
1.80;4950261.48;351.72;14833209.35;177.87;24718081.97;138.18;34601654.97;113.98;44486197.25;100.48;54370590.42;91.47;64255819.72;86.94
2.26;4950262.32;351.40;14833207.00;177.81;24718078.02;138.22;34601652.28;114.00;44486195.91;100.45;54370594.08;91.50;64255830.20;86.86
2.62;4950262.41;351.66;14833209.50;177.83;24718081.42;138.22;34601655.77;114.02;44486200.20;100.47;54370589.17;91.51;64255820.69;86.96
2.98;4950263.54;351.17;14833207.09;177.84;24718077.59;138.23;34601654.96;114.00;44486201.67;100.43;54370594.78;91.51;64255827.13;86.96
3.52;4950263.78;351.61;14833208.58;177.77;24718080.22;138.17;34601653.24;113.96;44486196.15;100.48;54370586.41;91.50;64255817.11;86.94
3.88;4950263.27;351.21;14833207.16;177.84;24718079.44;138.18;34601654.26;113.97;44486198.59;100.45;54370594.78;91.42;64255822.48;86.90
4.34;4950264.43;351.36;14833207.94;177.79;24718078.59;138.18;34601651.65;113.99;44486191.64;100.47;54370586.91;91.53;64255817.48;86.92
4.70;4950264.67;351.28;14833206.65;177.82;24718078.03;138.26;34601650.72;113.98;44486196.28;100.47;54370591.03;91.53;64255823.43;86.92
5.17;4950264.67;351.56;14833207.81;177.81;24718078.59;138.16;34601652.17;113.96;44486195.14;100.43;54370587.14;91.48;64255817.43;86.94
5.52;4950264.22;351.29;14833207.01;177.74;24718078.30;138.19;34601652.05;113.95;44486194.36;100.39;54370590.30;91.49;64255819.36;86.95
6.08;4950263.87;351.51;14833207.83;177.79;24718078.07;138.22;34601651.42;113.97;44486193.34;100.42;54370586.61;91.57;64255817.83;86.96
6.44;4950264.87;351.09;14833207.33;177.78;24718078.33;138.16;34601652.28;113.92;44486195.85;100.46;54370589.89;91.54;64255822.99;86.86
6.89;4950265.01;351.60;14833207.91;177.78;24718078.57;138.15;34601651.63;113.97;44486193.50;100.46;54370587.34;91.46;64255818.98;86.94
7.25;4950264.79;351.31;14833207.89;177.80;24718078.38;138.22;34601652.80;113.95;44486194.98;100.54;54370589.64;91.46;64255820.78;86.88
7.71;4950265.48;351.45;14833207.92;177.75;24718077.65;138.18;34601652.09;114.02;44486193.53;100.49;54370589.87;91.41;64255817.40;86.87
8.07;4950264.61;351.27;14833207.78;177.81;24718078.43;138.25;34601653.87;113.94;44486198.47;100.48;54370591.67;91.47;64255821.61;86.92
8.62;4950264.57;351.29;14833207.99;177.72;24718078.12;138.18;34601651.29;113.92;44486192.27;100.52;54370587.64;91.45;64255819.80;86.92
8.98;4950264.82;351.29;14833207.88;177.80;24718078.90;138.20;34601652.42;113.97;44486196.47;100.47;54370591.19;91.50;64255820.90;86.89
9.43;4950264.46;351.57;14833207.25;177.75;24718078.91;138.16;34601650.85;113.96;44486194.58;100.47;54370587.87;91.48;64255820.54;86.91
9.78;4950264.73;351.20;14833207.86;177.71;24718078.69;138.20;34601652.90;113.99;44486195.04;100.41;54370592.81;91.50;64255822.47;86.91
10.25;4950265.55;351.57;14833207.77;177.72;24718078.64;138.19;34601651.09;114.01;44486194.05;100.51;54370588.26;91.52;64255817.72;86.90
10.61;4950264.83;351.23;14833208.10;177.73;24718078.53;138.18;34601653.24;113.97;44486195.85;100.51;54370589.09;91.45;64255819.32;86.93
11.16;4950264.81;351.23;14833207.69;177.73;24718077.67;138.16;34601651.91;113.95;44486195.79;100.49;54370589.78;91.46;64255819.70;86.93
11.52;4950265.29;351.41;14833207.94;177.78;24718078.32;138.25;34601652.15;113.94;44486196.00;100.48;54370589.96;91.50;64255820.72;86.92
11.98;4950264.77;351.86;14833207.90;177.74;24718077.74;138.20;34601651.98;114.00;44486195.26;100.43;54370592.88;91.45;64255823.13;86.90
12.33;4950265.34;351.28;14833208.42;177.70;24718078.67;138.24;34601653.39;114.04;44486196.14;100.54;54370591.17;91.49;64255821.58;86.90
12.69;4950265.67;351.71;14833208.10;177.75;24718078.28;138.19;34601650.72;113.99;44486194.93;100.48;54370589.30;91.46;64255820.29;86.92
13.27;4950266.52;351.33;14833208.40;177.71;24718078.04;138.20;34601652.16;113.98;44486197.15;100.49;54370587.94;91.43;64255820.19;86.89
13.83;4950265.66;351.12;14833207.71;177.70;24718078.38;138.19;34601652.33;113.97;44486196.21;100.41;54370588.94;91.43;64255820.61;86.90
14.18;4950265.27;351.48;14833208.12;177.76;24718078.90;138.19;34601652.26;113.94;44486195.54;100.44;54370588.59;91.46;64255819.36;86.95
14.64;4950265.23;351.13;14833207.85;177.76;24718078.13;138.19;34601652.59;113.92;44486196.41;100.46;54370590.09;91.48;64255822.43;86.94
15.00;4950266.17;351.36;14833208.39;177.70;24718078.51;138.18;34601652.86;113.93;44486194.34;100.41;54370588.31;91.54;64255818.53;86.91
15.45;4950265.05;351.13;14833207.70;177.72;24718078.49;138.16;34601652.45;113.94;44486194.71;100.50;54370590.64;91.53;64255819.24;86.92
15.80;4950266.52;351.41;14833208.62;177.76;24718079.46;138.17;34601654.62;113.94;44486195.54;100.45;54370589.81;91.51;64255819.39;86.89
