time (min),f (Hz),d (ppm)
0.0,0.07999999821186066,1.7864615384615377
0.030000000000001137,0.0,1.7564615384615365
0.06999999999999318,0.3200000002980232,1.7564615384615365
0.09999999999999432,0.14000000059604645,1.7764615384615468
0.14000000000000057,0.7400000020861626,1.8064615384615479
0.1700000000000017,0.5799999982118607,1.7364615384615405
0.20000000000000284,1.2300000041723251,1.7564615384615365
0.23000000000000398,1.1700000017881393,1.7464615384615456
0.269999999999996,0.10000000149011612,1.7364615384615405
0.29999999999999716,0.3400000035762787,1.7664615384615416
0.3400000000000034,0.9699999988079071,1.8064615384615479
0.37000000000000455,-0.4299999997019768,1.7764615384615468
0.4000000000000057,-0.7100000008940697,1.7564615384615365
0.4300000000000068,-0.07999999821186066,1.7364615384615405
0.46999999999999886,-0.26999999582767487,1.826461538461544
0.5,-0.11999999731779099,1.7664615384615416
0.5300000000000011,-0.3399999961256981,1.7664615384615416
0.5699999999999932,0.020000003278255463,1.8064615384615479
0.5999999999999943,-0.6700000017881393,1.8164615384615388
0.6299999999999955,-0.3399999961256981,1.84646153846154
0.6700000000000017,-1.7999999970197678,1.7564615384615365
0.7000000000000028,-0.9900000020861626,1.7664615384615416
0.7399999999999949,-1.0199999958276749,1.836461538461549
0.769999999999996,-1.2299999967217445,1.7964615384615428
0.7999999999999972,-2.25,1.7564615384615365
0.8299999999999983,-2.1400000005960464,1.7564615384615365
0.8700000000000045,-2.5,1.7764615384615468
0.9000000000000057,-2.769999995827675,1.7764615384615468
0.9399999999999977,-0.8900000005960464,1.8164615384615388
0.9699999999999989,-2.560000002384186,1.7764615384615468
1.0,-4.009999997913837,1.7964615384615428
1.0400000000000063,-3.2000000029802322,1.8064615384615479
1.0699999999999932,-2.9600000008940697,1.7964615384615428
1.0999999999999943,-3.689999997615814,1.826461538461544
1.1299999999999955,-4.240000002086163,1.7864615384615377
1.1700000000000017,-3.9299999997019768,1.7964615384615428
1.2000000000000028,-4.5,1.8064615384615479
1.230000000000004,-3.780000001192093,1.8164615384615388
1.269999999999996,-3.8299999982118607,1.826461538461544
1.2999999999999972,-4.259999997913837,1.8164615384615388
1.3299999999999983,-5.75,1.8164615384615388
1.3700000000000045,-4.179999999701977,1.7864615384615377
1.4000000000000057,-3.969999998807907,1.7864615384615377
1.4300000000000068,-3.810000002384186,1.7864615384615377
1.4699999999999989,-3.6799999997019768,1.7864615384615377
1.5,-3.6099999994039536,1.7864615384615377
1.5300000000000011,-4.490000002086163,1.826461538461544
1.5699999999999932,-3.5700000002980232,1.7864615384615377
1.5999999999999943,-4.0,1.8064615384615479
1.6299999999999955,-4.280000001192093,1.8064615384615479
1.6700000000000017,-4.53999999910593,1.8164615384615388
1.7000000000000028,-4.78999999910593,1.7964615384615428
1.730000000000004,-3.9500000029802322,1.836461538461549
1.769999999999996,-4.219999998807907,1.836461538461549
1.7999999999999972,-4.509999997913837,1.7964615384615428
1.8299999999999983,-4.649999998509884,1.8064615384615479
1.8700000000000045,-5.089999996125698,1.8164615384615388
1.9000000000000057,-3.9900000020861626,1.7764615384615468
1.9300000000000068,-5.600000001490116,1.7964615384615428
1.9699999999999989,-4.46000000089407,1.8064615384615479
2.010000000000005,-5.149999998509884,1.7764615384615468
2.0400000000000063,-5.03999999910593,1.7764615384615468
2.069999999999993,-5.310000002384186,1.7964615384615428
2.1099999999999994,-4.740000002086163,1.8164615384615388
2.1400000000000006,-5.060000002384186,1.8164615384615388
2.180000000000007,-6.079999998211861,1.8064615384615479
2.2099999999999937,-4.75,1.8064615384615479
2.239999999999995,-4.969999998807907,1.8064615384615479
2.280000000000001,-4.829999998211861,1.7964615384615428
2.3100000000000023,-5.019999995827675,1.7964615384615428
2.3400000000000034,-5.310000002384186,1.8064615384615479
2.3799999999999955,-5.450000002980232,1.7964615384615428
2.4099999999999966,-4.950000002980232,1.8064615384615479
2.4399999999999977,-6.1099999994039536,1.8064615384615479
2.469999999999999,-5.740000002086163,1.8064615384615479
2.510000000000005,-6.259999997913837,1.826461538461544
